Year,Cases,MMWR Week
2010,127,1
2010,157,2
2010,99,3
2010,88,4
2010,134,5
2010,96,6
2010,114,7
2010,88,8
2010,213,9
2010,128,10
2010,182,11
2010,114,12
2010,286,13
2010,221,14
2010,284,15
2010,252,16
2010,416,17
2010,293,18
2010,528,19
2010,482,20
2010,583,21
2010,1380,22
2010,1405,23
2010,1464,24
2010,1405,25
2010,1591,26
2010,1302,27
2010,1105,28
2010,741,29
2010,537,30
2010,648,31
2010,467,32
2010,511,33
2010,337,34
2010,444,35
2010,263,36
2010,339,37
2010,259,38
2010,357,39
2010,264,40
2010,341,41
2010,245,42
2010,207,43
2010,258,44
2010,162,45
2010,183,46
2010,119,47
2010,150,48
2010,90,49
2010,99,50
2010,74,51
2010,118,52
2010,6,53
2011,99,1
2011,139,2
2011,81,3
2011,76,4
2011,146,5
2011,102,6
2011,111,7
2011,84,8
2011,150,9
2011,100,10
2011,138,11
2011,116,12
2011,200,13
2011,114,14
2011,193,15
2011,165,16
2011,217,17
2011,395,18
2011,354,19
2011,512,20
2011,511,21
2011,1139,22
2011,1390,23
2011,1617,24
2011,1461,25
2011,1915,26
2011,1616,27
2011,1625,28
2011,1195,29
2011,863,30
2011,946,31
2011,558,32
2011,564,33
2011,350,34
2011,454,35
2011,307,36
2011,364,37
2011,292,38
2011,351,39
2011,261,40
2011,378,41
2011,269,42
2011,238,43
2011,317,44
2011,212,45
2011,232,46
2011,144,47
2011,219,48
2011,150,49
2011,150,50
2011,96,51
2011,105,52
2011,3,53
2012,253,1
2012,150,2
2012,185,3
2012,107,4
2012,166,5
2012,119,6
2012,160,7
2012,124,8
2012,194,9
2012,150,10
2012,248,11
2012,166,12
2012,199,13
2012,336,14
2012,225,15
2012,363,16
2012,268,17
2012,478,18
2012,393,19
2012,544,20
2012,615,21
2012,1138,22
2012,1060,23
2012,1533,24
2012,1221,25
2012,1171,26
2012,1600,27
2012,1073,28
2012,1171,29
2012,621,30
2012,742,31
2012,503,32
2012,519,33
2012,401,34
2012,471,35
2012,315,36
2012,391,37
2012,268,38
2012,250,39
2012,382,40
2012,234,41
2012,352,42
2012,204,43
2012,290,44
2012,218,45
2012,251,46
2012,151,47
2012,217,48
2012,149,49
2012,137,50
2012,91,51
2012,106,52
2012,6,53
2013,165,1
2013,112,2
2013,126,3
2013,89,4
2013,161,5
2013,94,6
2013,122,7
2013,81,8
2013,148,9
2013,91,10
2013,111,11
2013,88,12
2013,79,13
2013,206,14
2013,115,15
2013,160,16
